date,PDSI,PHDI,PMDI,PZI
1895Q1,-0.86,-0.86,-0.86,-2.59
1895Q2,-1.27,-1.27,-1.27,-1.88
1895Q3,0.42,-0.78,0.42,0.58
1895Q4,-0.9,-0.9,-0.9,-2.23
1896Q1,-1.34,-1.34,-1.34,-2.02
1896Q2,-1,-1,-1,-2.04
1896Q3,-1.8,-1.8,-1.8,-2.3
1896Q4,-2.3,-2.3,-2.3,-2.74
1897Q1,-2.59,-2.59,-2.59,5.78
1897Q2,1.79,1.79,1.79,-1.89
1897Q3,-2.41,-2.41,-2.41,-3.65
1897Q4,-3.24,-3.24,-3.24,-2.21
1898Q1,-2.81,-2.81,-2.81,-2.9
1898Q2,-3.48,-3.48,-3.48,-2.68
1898Q3,-3.13,-3.13,-3.07,-1.17
1898Q4,-2.85,-2.85,-2.85,-1.9
1899Q1,-2.45,-2.45,-2.26,2.81
1899Q2,-2.74,-2.74,-2.74,-3.37
1899Q3,-3.18,-3.18,-3.18,-2.79
1899Q4,-3.42,-3.42,-3.42,-1.7
1900Q1,-2.76,-2.76,-2.69,-1.32
1900Q2,3.95,3.95,3.95,8.42
1900Q3,3.76,3.76,3.76,-1.33
1900Q4,0.75,2.75,2.49,2.25
1901Q1,-1.41,-1.41,-1.41,-1.71
1901Q2,-1.07,-1.07,-0.68,0.57
1901Q3,3.15,3.15,3.15,7.25
1901Q4,-0.93,2.43,1.88,-1.73
1902Q1,-0.82,1.45,0.57,1.5
1902Q2,-2.15,-2.15,-2.15,-3.31
1902Q3,-3.09,-3.09,-3.09,-2.76
1902Q4,0.24,-2.57,-2.53,-0.65
1903Q1,1.24,-1.96,-1.81,3.71
1903Q2,0.91,0.91,0.91,1.47
1903Q3,0.88,0.88,0.88,-2.33
1903Q4,-1.39,-1.39,-1.39,-1.12
1904Q1,-2.64,-2.64,-2.64,-2.92
1904Q2,-2.35,-2.35,-2.35,-0.95
1904Q3,-2.18,-2.18,-2.18,-1.82
1904Q4,-2.88,-2.88,-2.88,-2.52
1905Q1,-2.46,-2.46,-2.46,-2.06
1905Q2,-2.37,-2.37,-2.37,2.68
1905Q3,1.24,1.24,1.24,1.36
1905Q4,1.98,1.98,1.98,2.9
1906Q1,-1.67,-1.67,-1.67,-2.83
1906Q2,-2.38,-2.38,-2.38,-2.98
1906Q3,1.96,1.96,1.96,3.72
1906Q4,2.28,2.28,2.28,1.56
1907Q1,-1.96,-1.96,-1.96,-2.62
1907Q2,1.46,-1.57,1.46,3.9
1907Q3,0.56,1.24,1.2,1.69
1907Q4,-0.35,0.88,0.5,-0.81
1908Q1,-0.74,-0.74,-0.74,-1.39
1908Q2,-0.8,-0.8,-0.8,1.55
1908Q3,-0.51,-0.51,-0.51,-0.97
1908Q4,-1.83,-1.83,-1.83,-2.71
1909Q1,-1.98,-1.98,-1.98,2.5
1909Q2,2.33,2.33,2.33,2.9
1909Q3,2.26,2.26,2.26,-1.54
1909Q4,-1.75,-1.75,-1.75,-2.9
1910Q1,-2.97,-2.97,-2.97,-4.53
1910Q2,-3.37,-3.37,-3.37,3.21
1910Q3,2.32,2.32,2.32,3
1910Q4,-1.29,-1.29,-1.29,-2.06
1911Q1,-2.17,-2.17,-2.17,-2.86
1911Q2,1.96,1.96,1.96,5.89
1911Q3,1.91,1.91,1.91,2.23
1911Q4,2.17,2.17,2.17,3.8
1912Q1,2.17,2.17,2.17,2.84
1912Q2,3.07,3.07,3.07,3.35
1912Q3,3.85,3.85,3.85,2.78
1912Q4,-0.96,2.9,2.54,-2.2
1913Q1,1.05,2.55,2.42,2.28
1913Q2,-0.94,1.05,-0.71,-2.19
